SYMBOL,COMPANY,COUNTRY,EXCHANGE
0362.HK,China Zenith Chemical,Hong Kong,Hong Kong Stock Exchange
CDXC,ChromaDex Corporation,United States of America,
CDTI,Clean Diesel Technologies Inc.,United States of America,
BAUH722.SA,Cristal Pigmentos do Brasil SA,Brazil,BOVESPA - Sao Paolo Stock Exchange
BAUH723.SA,Cristal Pigmentos do Brasil SA,Brazil,BOVESPA - Sao Paolo Stock Exchange
CYDSASAA.MX,Cydsa SAB de CV,Mexico,Mexico Stock Exchange
DCW.BO,DCW Ltd,India,Bombay Stock Exchange
DCW.NS,DCW Ltd,India,National Stock Exchange of India
DEEPAKNI.BO,Deepak Nitrite Ltd,India,Bombay Stock Exchange
DIK.DE,Denki Kagaku Kogyo KK,Germany,XETRA Stock Exchange
DHARAMSI.BO,Dharamsi Morarji Chemical,India,Bombay Stock Exchange
DHOOTIN.BO,Dhoot Industrial Finance Ltd,India,Bombay Stock Exchange
DIAMINESQ.BO,Diamines & Chemicals Ltd,India,Bombay Stock Exchange
DIC.BO,DIC India Ltd,India,Bombay Stock Exchange
DICIND.NS,DIC India Ltd,India,National Stock Exchange of India
DTI.DE,Dottikon ES Holding AG,Germany,XETRA Stock Exchange
DCH1.DE,Dow Chemical Co,Germany,XETRA Stock Exchange
DOW.MX,Dow Chemical Co,Mexico,Mexico Stock Exchange
DOWB34.SA,Dow Chemical Co,Brazil,BOVESPA - Sao Paolo Stock Exchange
D6U.SI,Dynamic Colours Ltd,Singapore,Singapore Stock Exchange
EAC.DE,Eastman Chemical Co,Germany,XETRA Stock Exchange
EMN,Eastman Chemical Co.,United States of America,
2341.HK,EcoGreen Fine Chemicals,Hong Kong,Hong Kong Stock Exchange
EJF.DE,EcoGreen Fine Chemicals,Germany,XETRA Stock Exchange
BAUH217.SA,Elekeiroz SA,Brazil,BOVESPA - Sao Paolo Stock Exchange
BAZA216.SA,Elekeiroz SA,Brazil,BOVESPA - Sao Paolo Stock Exchange
ELLENBARR.BO,Ellenbarrie Industrial,India,Bombay Stock Exchange
EMC1.DE,Ems-Chemie Holding AG,Germany,XETRA Stock Exchange
ENRT.L,Envirn Recycling Tech,United Kingdom,London Stock Exchange
CRS1.DE,Ercros SA,Germany,XETRA Stock Exchange
EPCP.PA,Explosifs et Produits,France,Paris Stock Exchange
EXPL.PA,Explosifs et Produits,France,Paris Stock Exchange
FISCHER.BO,Fischer Chemic Ltd,India,Bombay Stock Exchange
FMC,FMC Corp.,United States of America,
FMQ.DE,FMC Corporation,Germany,XETRA Stock Exchange
FOSECO.BO,Foseco India Ltd,India,Bombay Stock Exchange
FOSECOIND.NS,Foseco India Ltd,India,National Stock Exchange of India
FPE.DE,Fuchs Petrolub SE,Germany,XETRA Stock Exchange
FPE3.DE,Fuchs Petrolub SE,Germany,XETRA Stock Exchange
0546.HK,Fufeng Group Ltd.,Hong Kong,Hong Kong Stock Exchange
FF,FutureFuel Corp.,United States of America,
GEVO,"Gevo, Inc.",United States of America,
GHCL.BO,GHCL Ltd,India,Bombay Stock Exchange
GHCL.NS,GHCL Ltd,India,National Stock Exchange of India
GODREJIND.BO,Godrej Industries Ltd,India,Bombay Stock Exchange
GODREJIND.NS,Godrej Industries Ltd,India,National Stock Exchange of India
BAUH301.SA,GPC Participacoes SA,Brazil,BOVESPA - Sao Paolo Stock Exchange
0582.HK,Greenfield Chemical,Hong Kong,Hong Kong Stock Exchange
POCHTECB.MX,Grupo Pochteca SAB de CV,Mexico,Mexico Stock Exchange
GUJALKALI.BO,Gujarat Alkalies,India,Bombay Stock Exchange
GUJALKALI.NS,Gujarat Alkalies,India,National Stock Exchange of India
GSFC.BO,Gujarat Fertilizers&Chem.,India,Bombay Stock Exchange
GSFC.NS,Gujarat Fertilizers&Chem.,India,National Stock Exchange of India
GUJFLUORO.BO,Gujarat Fluorochemicals Ltd,India,Bombay Stock Exchange
GUJFLUORO.NS,Gujarat Fluorochemicals Ltd,India,National Stock Exchange of India
GULPOLY.BO,Gulshan Polyols Ltd,India,Bombay Stock Exchange
WAS.DE,H & R AG,Germany,XETRA Stock Exchange
HAIK.L,Haike Chemical Group Ltd,United Kingdom,London Stock Exchange
HAL.L,Halosource Inc,United Kingdom,London Stock Exchange
HALO.L,Halosource Inc,United Kingdom,London Stock Exchange
HDD.L,Hardide PLC,United Kingdom,London Stock Exchange
HIKAL.BO,Hikal Ltd,India,Bombay Stock Exchange
HIKAL.NS,Hikal Ltd,India,National Stock Exchange of India
HIMCI.BO,Himadri Chemicals & Indus,India,Bombay Stock Exchange
HINFLUR.BO,Hindustan Fluorocarbons Ltd,India,Bombay Stock Exchange
HIM.DE,Hitachi Chemical Co Ltd,Germany,XETRA Stock Exchange
HINDORG.BO,HOCL,India,Bombay Stock Exchange
HOCL.NS,HOCL,India,National Stock Exchange of India
0336.HK,Huabao International,Hong Kong,Hong Kong Stock Exchange
CEY2.DE,Huabao Intl Hldgs,Germany,XETRA Stock Exchange
HTR.DE,Huntsman Corp,Germany,XETRA Stock Exchange
HUN,Huntsman Corporation,United States of America,
INDIAGLYC.NS,India Glycols Ltd,India,National Stock Exchange of India
INDIAGLYCOL.BO,India Glycols Ltd,India,Bombay Stock Exchange
INDOAMIN.BO,Indo Amines Ltd,India,Bombay Stock Exchange
INDOBORAX.BO,Indo Borax & Chemicals Ltd,India,Bombay Stock Exchange
I93.DE,Indorama Ventures PLC,Germany,XETRA Stock Exchange
INSILCO.BO,Insilco Ltd,India,Bombay Stock Exchange
IEVM,Integrated Environmental Techn,United States of America,
IPD.V,International Parkside,Canada,TSX Venture Exchange
JAYCH.BO,Jayshree Chemicals Ltd,India,Bombay Stock Exchange
JDORGO.BO,JD Orgochem Ltd,India,Bombay Stock Exchange
0549.HK,Jilin Qifeng Chemical Fib,Hong Kong,Hong Kong Stock Exchange
C8R.SI,Jiutian Chemical Group Ltd,Singapore,Singapore Stock Exchange
JOCIL.NS,Jocil Ltd,India,National Stock Exchange of India
JYR.DE,JSR Corporation,Germany,XETRA Stock Exchange
SDF.DE,K+S Aktiengesellschaft,Germany,XETRA Stock Exchange
KANORIAC.BO,Kanoria Chemicals,India,Bombay Stock Exchange
KANORICHE.NS,Kanoria Chemicals,India,National Stock Exchange of India
KANSAINER.NS,Kansai Nerolac Paints Ltd,India,National Stock Exchange of India
